room_number,category_Köhnə tikili,category_Yeni tikili,avg_price,median_price,mode_price
1.0,False,True,0.018379549727206995,0.01794517846578584,0.01991717609938868
1.0,True,False,0.01229511204916587,0.011634786038256755,0.013015184381778741
2.0,False,True,0.02665313574309346,0.02484717018339578,0.02287517254979294
2.0,True,False,0.017951049537977614,0.01695917964898442,0.01794517846578584
3.0,False,True,0.044643739975196314,0.04259514888582134,0.04358114770262276
3.0,True,False,0.027152215196896746,0.024551370538355356,0.02879116545060146
4.0,False,True,0.07425484123180687,0.06724511930585683,0.06330112403865115
4.0,True,False,0.03602356169653959,0.02977716426740288,0.02681916781699862
5.0,False,True,0.11808665123799582,0.09682508380989943,0.08302110037467955
5.0,True,False,0.048823415573391996,0.03401695917964899,0.03766515480181424
6.0,False,True,0.16035820370348888,0.14218102938276472,0.19148097022283572
6.0,True,False,0.1175548872674686,0.09288108854269375,0.04851114178662986
7.0,False,True,0.19952366590493426,0.16781699861960164,0.061723525931768886
7.0,True,False,0.1464454742654309,0.11753105896272924,0.02681916781699862
8.0,False,True,0.3247562038409425,0.24669690396371521,0.10471307434431079
8.0,True,False,0.22263458883849338,0.17176099388680732,0.14216130940642868
9.0,False,True,0.27660553474002497,0.22993492407809107,0.15204101755077892
10.0,False,True,0.35785183724446196,0.3098008282390061,0.4853086176296588
10.0,True,False,0.5267205679353184,0.5267205679353184,0.5267205679353184
11.0,False,True,0.38552553736935513,0.38552553736935513,0.3295208045750345
12.0,True,False,0.3886807335831197,0.3886807335831197,0.3886807335831197
14.0,False,True,0.20134095839084992,0.20134095839084992,0.20134095839084992
15.0,False,True,0.6234717018339577,0.5858804969434036,0.5858804969434036
